seqname,tax_id
ACB99268,s__organism
ACB99269,s__organism
AIG84953,s__pneumoniae
ACB99264,s__organism
ACB99265,s__organism
OEF44268,s__splendidus
ACB99267,s__organism
ATD84003,s__vesiculosa
ACB99261,s__organism
ACB99262,s__organism
ACB99263,s__organism
KML46332,s__cepacia
AAL86691,s__oceani
KPX37284,s__ficuserectae
AKJ03175,s__gephyra
SFE99801,s__philippinensis
ANI52331,s__sp._DR_5-09
KPB02205,s__marinae1
OON82718,s__tsukubensis
KZR77052,s__marinuse1
AIF84928,s__Nitrososphaera_evergladensis
EGL55411,s__aminisulfidivorans
AKS72797,s__schleiferi
EAP81442,s__sp._NAS-14.1
KRR30160,s__retamae
ODO06303,s__wingfieldii
EIN81403,s__coli
OKY72808,s__sp._CACIAM_69d
OQW59882,s__bacterium_SG_bin9
OQW82729,s__bacterium_ST_bin16
AJC53056,s__sp._769
AUW44094,s__leguminosarum
KRI63393,s__pittii
SGS85802,s__aureus
KIP34414,s__influenzae
ESL46932,s__pneumoniae
KRA40275,s__sp._Root635
ANH71011,s__sp._7
KPH61807,s__sp._ST904
SEP29995,s__endophyticus
AOB40771,s__parapertussis
KQG98517,s__baumannii
SDZ82265,s__soli
OLB71290,s__bacterium_13_2_20CM_2_61_4
AQT38769,s__sp.
EQD81601,s__erythraea
AQT38761,s__sp.
AQT38763,s__sp.
AQT38765,s__sp.
AQT38767,s__sp.
KEJ96400,s__pseudonitzschiae
EMZ19691,s__plexicaudatum
OAP14824,s__thaliana
SHM61547,s__pacificus
OHP85838,s__sp._HMSC063D03
KDR63658,s__wadayamensis
APH55487,s__bethesdensis
OIS93456,s__cytisi
BAZ66391,s__sp._NIES-4106
OIB02218,s__sp._LC231
SBY46046,s__pneumoniae
ORL63798,s__putida
SFD67974,s__sp._13MFTsu3.1M2
KQZ31855,s__sp._Root552
OIY06603,s__freundii
OSQ50632,s__geojedonensis
ORY57207,s__vexata
KRI01549,s__sp._PAE-UM
EZQ01020,s__sp._Ver3
SEF36734,s__pretoriensis
AJF12466,s__thaumarchaeote
KKI18583,s__sp._Ag1
EKB36593,s__baumannii
OHQ09866,s__sp._HMSC064D12
SMC45057,s__naphthalenivorans
KGX38276,s__pseudomallei
SHH47646,s__sp._UWH9
ELU39581,s__solani
ABZ78012,s__halifaxensis
CVI66643,s__bacterium_CHKCI001
KIC41780,s__sp._ANG-S4
CCA77743,s__indica
KWU49934,s__fluorescens
EUM61451,s__cloacae_complex_'Hoffmann_cluster_III'
OLT64739,s__producens
ALE05882,s__sp._ERGS1:01
ACR27089,s__bizzozeronii
OPA98171,s__fluorescens
ASF56768,s__velezensis
EII07915,s__coli
AJF13111,s__bacterium
SDK19804,s__indicus
OOC08716,s__azurea
OOO35847,s__sp._YIC_4121
KRA06621,s__sp._Root568
ABQ07834,s__johnsoniae
APE43696,s__sp._AM1-D1
SHM41582,s__sp._UWB7
KVC62873,s__ubonensis
OJU20516,s__sp._62-7
SEO24853,s__sp._OV219
SFU49293,s__multiformis
OLD80624,s__bacterium_13_1_20CM_58_21
AKR56393,s__sp._H5989
KTW19728,s__warneri
EVC79159,s__aureus
KML30283,s__aryabhattai
AAC49868,s__posadasii
SIT94381,s__indicuse1
SDY09830,s__album
KFE45285,s__syringae
KIE11144,s__bouteillei
SDL40819,s__chinensis
KZE75374,s__elgii
SCV31285,s__alata
KKZ67832,s__crescens
SAV98926,s__pneumoniae
ASS90864,s__pallidus
OMP80699,s__sp._ATCC_35208
ALV45097,s__alpinus
KTC02872,s__syringae
OAV99918,s__triticina
KJH73654,s__atlantica
AJF12812,s__bacterium
AHJ96151,s__swuensis
KGM29890,s__luminescens
AJF12549,s__bacterium
AJF12548,s__bacterium
ORY99548,s__repens
KER71093,s__cepacia
AJF12541,s__bacterium
AJF12540,s__bacterium
AJF12545,s__bacterium
AJF12547,s__bacterium
AJF12546,s__bacterium
CUQ19899,s__saccharivorans
AHZ24792,s__pylori
SFI90665,s__canum
ESP90086,s__Halobonum_tyrrellensis
AJF12729,s__bacterium
AJF12728,s__bacterium
OOF85927,s__ratti
AJF12725,s__bacterium
AJF12727,s__bacterium
AJF12720,s__bacterium
AJF12723,s__bacterium
AJF12722,s__bacterium
CQR36405,s__arsenitoxydans
ABB92620,s__marine_organism
KJY34920,s__katrae
CNE75846,s__kristensenii
KGF79037,s__sp._JS1662
EKL47715,s__baumannii
KUR64145,s__sp._ATCC_21022
APG15511,s__japonicum
ACB99017,s__organism
ASV84708,s__sp._A44
ACB99015,s__organism
ACB99014,s__organism
ACB99013,s__organism
ACB99012,s__organism
ACB99011,s__organism
KRU22461,s__piscatorii
KOV31736,s__sp._XY431
AKC81692,s__bacterium_IMCC26134
EQL76155,s__pylori
ORY73615,s__creatinivorum
ACB99018,s__organism
EGC01992,s__albuse1
EHQ30469.1,s__paludis
ERI38957,s__sp._AK-YN10
KIT79208,s__aureus
AJQ47481,s__putida
OIS61262,s__equorum
EEE06172,s__multivorans
GAL41153,s__freundii
KQQ82330,s__sp._Leaf137
EFV44491,s__wadsworthia
CAQ69034,s__taiwanensis
OBX27823,s__gandensis
OKJ54299,s__sp._CB02115
ACU34473,s__mirum
CYA06316,s__aureus
OCX44804,s__thiooxydans
SCY62438,s__sp._Nsp13
EGJ21778,s__sphaeroides
ORW99427,s__trivialis
AJZ59858,s__fungorum
SHO79147,s__sympodialis
KEF20627,s__rimosus
SLO09791,s__pneumoniae
AUH63374,s__zhejiangensis
KNX77588,s__sp._250J
EPA89896,s__pneumoniae
AEY87942,s__hygroscopicus
KJV26202,s__magnusonii
OKI79334,s__sp._CB02414
AQW80816,s__pinnipediorum
ARS88793,s__archaeon_JW/NM-HA_15
SBU96634,s__sp._Ncost-T6T-1
KGJ18674,s__sanguinis
OAI10067,s__methanica
ORA70962,s__heidelbergense
KUL49629,s__sp._NRRL_F-4489
AJK45278,s__glumae
OJB33207,s__ubonensis
SFY37253,s__pantotrophus
OQQ30558,s__hoagii
OMG35154,s__naeslundii
OFP00740,s__sp._HMSC065E08
OBS06399,s__baumannii
KFX34713,s__icigianus
ODT77994,s__sp._SCN_64-44
EOY79572,s__pneumoniae
AEL75175,s__immitis
AJC20687,s__pulmonicola
ANP86874,s__leguminosarum
ATL30713,s__formicae
SDF61015,s__thiooxidans
OMG24737,s__naeslundii
AEI53559,s__marine_crenarchaeote
ONN72030,s__psychrotoleranse1
KVV24706,s__cepacia
KZE84054,s__marinuse2
OSP22865,s__agnetis
ADP83884,s__inefficax
KQB57715,s__sp._SD340
AJF13003,s__bacterium
AJF13002,s__bacterium
AJF13001,s__bacterium
AJF13000,s__bacterium
AJF13007,s__bacterium
AJF13006,s__bacterium
AJF13004,s__bacterium
AJF13009,s__bacterium
AJF13008,s__bacterium
ALR87123,s__heilmannii
SDI25940,s__naphthalenovorans
OOF56254,s__genomosp._2
ETI59140,s__profundimaris
SAH31367,s__cloacae
AQT38973,s__sp.
AQT38979,s__sp.
KON29321,s__Crenarchaeota_group-1_archaeon_SG8-32-1
ANN77196,s__flabilis
ERW38270,s__aeruginosa
KOA17440,s__baumannii
KGV89251,s__pseudomallei
CAL57594,s__tauri
OOQ41697,s__fluorescens
CBG39568,s__mustelae
ACB99242,s__organism
ACB99243,s__organism
ACB99240,s__organism
ACB99241,s__organism
ACB99246,s__organism
ACB99247,s__organism
ACB99244,s__organism
ACB99245,s__organism
ACB99248,s__organism
EKU40457,s__sp._WC-141
AMX08227,s__asburiae
EWC60306,s__spheciospongiae
ODG96277,s__sp._KVJ20
GAB94570,s__limosa
CCE11097,s__sp._STM_3843
SEQ82181,s__cuatrocienegasensis
KOV15841,s__sp._XY413
KRB64777,s__sp._Root71
KPU05691,s__cloacae
OEU91803,s__abyssalis
AJF12246,s__thaumarchaeote
CPL20125,s__pseudomallei
OCB91723,s__baumii
KMK32380,s__gergoviae
AJF12240,s__thaumarchaeote
OLO42457,s__pseudofirmus
AKU17907,s__mongoliensis
SEN90926,s__sp._OK095
OCA85030,s__wudalianchiensis
CKO97066,s__tuberculosis
KVO09449,s__ubonensis
KRG35269,s__sp._P11F6
OLT13114,s__sp._CNU-125
KWU00775,s__toranzoniae
OJU33336,s__bacterium_65-37
KUL58459,s__griseus
SEE22352,s__sp._2112.3
CAK29366,s__sp._RCC307
ARK64223,s__pseudomallei
BAX35309,s__Helicobacter_sp.
AQZ65667,s__sp._ATCC_55076
AQT38749,s__sp.
AQT38747,s__sp.
OCX54439,s__sp._PPCGB_2223
AQT38745,s__sp.
AQT38743,s__sp.
ANB05118,s__ambofaciens
AQT38741,s__sp.
SKA48133,s__eiseniae
ANE79258,s__sp._YC-RL4
ADG06869,s__tusciae
SEC98725,s__pyridinivorans
ELS48404,s__aeruginosae1
ADB60444,s__turkmenica
ASB95219,s__subtilis
KPQ38150,s__sp._OSCR
OIN10487,s__algae
ERT67988,s__somerae
ABR10926,s__suis
AJF12641,s__bacterium
KWT57314,s__albus
ACB99282,s__organism
ACB24848,s__radiotolerans
KMN36564,s__sp._LK3
ASM77534,s__filiformis
KPX14714,s__syringae
SHK81101,s__sp._UWEL
KIR22767,s__fluorescens
CUI03183,s__sp._CG23_2
CDC48126,s__bacterium_CAG:424
EUJ44089,s__riparia
ASZ63099,s__subtilis
KOU29545,s__sp._WM6368
ANA34780,s__mannitolilytica
SFX27208,s__sp._NFPP02
CDH49432,s__corymbifera
ARY43858,s__melitensis
SFE65675,s__indicuse2
ESA99904,s__pneumoniae
SEO41593,s__sp._Nv6
KYO15930,s__hormaechei
OHV74813,s__sp._BMG5.36
WP_028068593.1,s__thalpophilum
GAD88906,s__halioticoli
BAX35455,s__Helicobacter_sp.
BAX35459,s__Helicobacter_sp.
OND46451,s__pseudomallei
ORM28921,s__sp._1138
KQU50381,s__sp._Leaf344
KDN11445,s__alvi
KJE53294,s__sp._USM_B20
SDD95755,s__marinae2
KXI30204,s__hydrolytica
ANE44160,s__puniceus
ESX21949,s__sp._LSJC255A00
OAV75443,s__bacterium_Barb7
SAK70790,s__hypogeia
ANQ12556,s__natriegens
CNB11470,s__similis
KRB03878,s__sp._Root16D2
OPB75263,s__ursingii
KSP03092,s__aeruginosa
BAI15697,s__pasteurianus
ATR77988,s__osloensis
CEJ54096,s__brasilianum
KFK87591,s__sp._JS01
BAW58801,s__pylori
EWY38825,s__stibiiresistens
AON39372,s__aeruginosa
ACB99369,s__organism
CYC56220,s__aureus
GAL31939,s__maritimus
OBB46560,s__sp._852002-51961_SCH5331710
SEA79590,s__sp._YR216
OOR17350,s__mycoides
CEI83203,s__oncorhynchi
GAE90573,s__straminisolvens
EHH12888,s__amorphae
EZQ82438,s__pneumoniae
AMG65392,s__stuartii
ATL41207,s__velezensis
EXM55040,s__aureus
AOE65949,s__fluorescens
AFR57498,s__crenarchaeote
AJF12529,s__thaumarchaeote
KOT09527,s__mallei
SEB67359,s__jessenii
AJF12526,s__thaumarchaeote
AJF12525,s__thaumarchaeote
AJF12524,s__thaumarchaeote
AFR57490,s__crenarchaeote
AFR57491,s__crenarchaeote
AJF12521,s__thaumarchaeote
AJF12520,s__thaumarchaeote
SAK21611,s__multivorans
EXD31868,s__sp._479375
CKS59846,s__tuberculosis
KKI65382,s__cohnii
ACM04891,s__roseum
OHC23088,s__bacterium_RIFCSPHIGHO2_12_FULL_40_16
KMN18899,s__weihenstephanensis
KYK15516,s__sp._CC71
OGV21320,s__bacterium_GWF2_38_69
CDE06699,s__sp._CAG:485
ACB99387,s__organism
AJF12294,s__thaumarchaeote
AJF12297,s__thaumarchaeote
AJF12296,s__thaumarchaeote
AJF12291,s__thaumarchaeote
AJF12290,s__thaumarchaeote
AJF12293,s__thaumarchaeote
AJF12292,s__thaumarchaeote
SCY51057,s__tibetensis
AJF12299,s__thaumarchaeote
AJF12298,s__thaumarchaeote
ACB99389,s__organism
KWI59013,s__pseudomultivorans
ACB98928,s__organism
ACB98929,s__organism
AIB11835,s__brasilense
OCP36383,s__sp._LC163
OSM05021,s__australis
ACB98921,s__organism
ACB98922,s__organism
ACB98923,s__organism
ACB98925,s__organism
OAP48842,s__saheli
SNV00040,s__piscifermentans
OBQ53149,s__sp._H-KF8
ACB99039,s__organism
ACB99038,s__organism
AJW45654,s__mannitolilytica
ACB99035,s__organism
ACB99034,s__organism
ACB99037,s__organism
ACB99036,s__organism
AMR91183,s__sphaericus
ACB99030,s__organism
ACB99033,s__organism
APA09949,s__sclerotiorum
EXE86383,s__baumannii
GAS77998,s__enterica
EJM80061,s__sp._GM60
SDG29548,s__oroxyli
ORW02834,s__lacus
AUR37388,s__piscinae
SOD71117,s__sp._GAS493
SFH44760,s__cephalotaxi
EYS27668,s__baumannii
ABB92608,s__marine_organism
ABB92609,s__marine_organism
ABB92602,s__marine_organism
ABB92603,s__marine_organism
ABB92600,s__marine_organism
ABB92601,s__marine_organism
ABB92607,s__marine_organism
ABB92604,s__marine_organism
ABB92605,s__marine_organism
KQZ00144,s__sp._Root1462
KHE73838,s__marinae3
SEP43252,s__sp._Snoq117.2
EHS49925,s__sp._PDO1-076
OMG22305,s__naeslundii
OJF09970,s__caeruleus
EDP41721,s__globosa
KWS14975,s__amygdali
EMH12518,s__pylori
KUY47783,s__oklahomensis
EAP94353,s__splendidus
ANK73476,s__adhaerens
KVD90139,s__ubonensis
OLB52390,s__Rokubacteria_bacterium_13_2_20CM_2_70_11
KRB73880,s__sp._Root190
KZN16751,s__fluorescens
EPL05471,s__sp._CF161
KPX49083,s__syringae_group_genomosp._7
SBS67862,s__splendidus
KKF39648,s__saccharovorum
EEI82331,s__tetradius
BAZ48128,s__sp._NIES-4103
SCE99599,s__haikouensis
EAQ99144,s__litoralis
KVU11084,s__ubonensis
ESZ00666,s__sp._LNHC209A00
OMQ23818,s__oryzae
OEZ60398,s__sp._HH105
OLZ72137,s__sp._IMTB_2501
ASM56437,s__sp.e1
AHA99206,s__ceti
SDM97213,s__sp._OK676
OJG07671,s__autotrophica
OOY44287,s__velum_gill_symbiont
AOI29818,s__freundii
OCZ07722,s__pittii
OHC23725,s__bacterium_RIFCSPLOWO2_02_FULL_63_210
OKP14498,s__subrubescens
AEI53570,s__marine_crenarchaeote
AEI53572,s__marine_crenarchaeote
KGH44846,s__caceresii
APT15685,s__epidermidis
KKC37101,s__subaequoris
AJI79975,s__singulare
SDD55665,s__sp._LaPpAH-199
OLC66806,s__bacterium_13_1_40CM_4_64_4
ODL95498,s__pittii
SLM43144,s__sp._ND1
KXF20581,s__aeruginosa
CAG67976,s__sp._ADP1
ASY57539,s__sp._CCBAU_05631
KQS78284,s__sp._Leaf383
CMJ25976,s__tuberculosis
ODA23634,s__damselae
ORL88588,s__hoagii
AKH65316,s__temperata
ABV50540,s__marinuse1
EJL05217,s__fluorescens
SCW45029,s__peli
AQT38919,s__sp.
KUN67418,s__canus
OOV27497,s__Synechococcus_spongiarum
EYO53430,s__aureus
AGK53378,s__sp._1NLA3E
OHZ33038,s__vitis
ONC41048,s__pseudomallei
CND13841,s__frederiksenii
OAG84980,s__sp._YD25
AJF13028,s__bacterium
AMO66931,s__aliphaticivorans
SCE01702,s__sp._ScaeMP-6W
AKC60082,s__endosymbiont_of_Polyrhachis_(Hedomyrma)_turneri
KRG08416,s__sp._NAM3COL9
AJF13021,s__bacterium
AJF13020,s__bacterium
AJF13023,s__bacterium
ARJ50632,s__lutrae
AJF13025,s__bacterium
AJF13024,s__bacterium
AJF13027,s__bacterium
AJF13026,s__bacterium
AJF12888,s__bacterium
AJF12889,s__bacterium
SEK34440,s__pusilla
AJF12880,s__bacterium
OCC03591,s__sp._WJW
SIO24135,s__phenazinium
AJF12883,s__bacterium
AJF12884,s__bacterium
AJF12885,s__bacterium
AJF12887,s__bacterium
BAX35279,s__Helicobacter_sp.
BAX35271,s__Helicobacter_sp.
BAX35273,s__Helicobacter_sp.
KEZ65480,s__amygdali
KEP70914,s__dalianensis
SDC99484,s__sp._CF095
AJZ76262,s__Nitrosotenuis_cloacae
KJS09081,s__sp._BRH_c9
KUM62472,s__freii
AAO15374,s__bizzozeronii
CUW50962,s__vulpis
ACB99217,s__organism
EZS87692,s__aureus
CUW49256,s__vulpis
KVN61678,s__stagnalis
CUQ14593,s__obeum
KMW07892,s__canis
SMG39083,s__psychroaquaticum
OJF98250,s__antarcticum
OKO92503,s__sp._NAS80.1
OJX09062,s__bacterium_68-20
AOP49615,s__lydicus
EJL86502,s__sp._CF444
SDL38076,s__sp._YR527
SDH18660,s__pacifica
KOT87421,s__rimosus
EPH44587,s__aurantiacus
SKB98489,s__sp._31Cvi3.1E
SHM93139,s__suaedae
AMO59600,s__phlei
ATL87099,s__malaysiensis
OLP00484,s__porcinum
OPX51705,s__freundii
OEE75026,s__norvegicus
KKC43569,s__sp._V2
ENV21788,s__bereziniae
SED88399,s__sp._28-YEA-48
EQD98383,s__pylori
SEW18409,s__sp._YR573
ARJ38771,s__ureae
KWX19497,s__wolinskyi
EJZ10520,s__vaccae
KGS41499,s__pseudomallei
BAW51031,s__pylori
OEK73882,s__saprophyticus
OJU99412,s__bacterium_61-8
SDY28358,s__shandongensis
OCB13580,s__vulneris
ASE11757,s__rhizophila
KOU17610,s__sp._WM6349
KPW22140,s__syringae
SAK44421,s__catudaia
AJD02600,s__lari
SDB83493,s__enclense
KGJ23651,s__sanguinis
AQY20277,s__lydicus
ACB99411,s__organism
KYD33923,s__stearothermophilus
ACB99410,s__organism
EKM20862,s__harveyi
OOV74725,s__cloacae
EGH74232,s__syringae
ONN62862,s__laminosus
ONX55094,s__cenocepacia
CEO08706,s__sordellii
ABE29295,s__xenovorans
ACS57554,s__leguminosarum
ENO80822,s__sp._27
BAX35477,s__Helicobacter_sp.
ACB98943,s__organism
EJM61979,s__sp._GM49
BAX35479,s__Helicobacter_sp.
EST20695,s__roseochromogenus
OGA31820,s__bacterium_RIFCSPLOWO2_12_FULL_62_13b
SLN35832,s__marinuse3
OCX42932,s__ornithocola
AME02348,s__osloensis
AQY51316,s__weihenstephanensise1
EPX60641,s__fuscus
KSR38822,s__aeruginosa
CEK45295,s__aureus
SHQ72211,s__abscessus
ABB69909,s__sp._NRS527
ABB69908,s__sp._GS832
KPW29085,s__syringae_group_genomosp._3
KJV11163,s__litoralise1
ABB69903,s__sp._9SS1
ABB69902,s__multiformis
KYG29990,s__endophyticuse1
ABB69907,s__sp._TCH716
ABB69906,s__sp._TCH711
ABB69905,s__sp._PJA1
ABB69904,s__sp._KAN8
KIQ67467,s__marinae4
AQX71977,s__stationis
ANZ86278,s__freundii
OOE05408,s__sp._P44RR-XXIV
AJO76310,s__sp._MRSN12121
KGO72422,s__italicum
CVI17345,s__tumefaciens
ARL97423,s__pseudomallei
CVH03274,s__marcescens
GAC78130,s__malaquae
OBQ93637,s__sp._WSM1497
EPF22396,s__pneumoniae
OKI78050,s__sp._TSRI0395
EXB04221,s__baumannii
KGS43264,s__pseudomallei
OQV76221,s__enterocolitica
CDW99488,s__scitamineum
KPI16879,s__bacterium_OV450
EGA69008,s__sinaloensis
SAR77123,s__pneumoniae
KEK14515,s__reuteri
ANK98934,s__sp._N621
AIM38434,s__sp._ML3W
OKA47296,s__pylori
KZK26469,s__pseudintermedius
OOG56041,s__sp._C04
CQR65301,s__leeuwenhoekii
AJF12505,s__thaumarchaeote
AJF12504,s__thaumarchaeote
AJF12507,s__thaumarchaeote
AJF12506,s__thaumarchaeote
AJF12501,s__thaumarchaeote
EFL80493,s__pleuropneumoniae
AJF12503,s__thaumarchaeote
AJF12502,s__thaumarchaeote
AJF12509,s__thaumarchaeote
AJF12508,s__thaumarchaeote
KGK92864,s__syringae_group_genomosp._3
AMV11096,s__thermoleovorans
OBS27139,s__poae
CUA95579,s__bhubaneswarensis
EAS40910,s__profundum
ASG23742,s__amazonense
KOT98273,s__sp._NRRL_F-4711
OEZ91249,s__sp._HH107
SLN28878,s__marisminoris
KHK62409,s__frederiksbergensis
SDE32130,s__acidovorans
KKB62196,s__andropogonis
ACB98908,s__organism
ACB98909,s__organism
ACB98906,s__organism
ACB98907,s__organism
ACB98904,s__organism
ACB98905,s__organism
ACB98902,s__organism
ACB98903,s__organism
ACB98900,s__organism
ACB98901,s__organism
ASC69341,s__hongdechloris
AHN39926,s__pylori
ESQ99875,s__chloritidismutans
KDO00048,s__donghuensis
KRS14059,s__atlanticus
CDT02593,s__crassostreae
KVN38016,s__pyrrocinia
BAL98355,s__aerophila
OLE27702,s__sp._13_1_20CM_3_70_7
ACB99260,s__organism
AHD19801,s__pyridinivorans
ABQ78976,s__putida
KRE71005,s__sp._Soil762
OSM42192,s__sp._PF2B19
ATY61480,s__militaris
EIC80722,s__salivarius
EAL17675,s__neoformans
SBL80861,s__oxytoca
KIQ02885,s__tumefaciens
ORU97082,s__canariasense
AOY90086,s__salinus
OJW25535,s__bacterium_69-11
KOF25856,s__parahaemolyticus
AMY69422,s__alba
AOE63607,s__corrugata
AJK88005,s__fusiformis
KIF62487,s__fluorescens
OLO64769,s__oris
EWG66781,s__sp._DC3
OQM70771,s__longum
APA99280,s__seriolae
KMO20090,s__platani
KMY85264,s__Paraburkholderia_calva
SIS68150,s__aestuarii
KDR37395,s__grimmiae
AKK28083,s__sp._EPa45
EGN35050,s__bacterium_3_1_57FAA_CT1
KMO35137,s__aquaticum
OEE90602,s__crassostreae
KQY01443,s__sp._Root133
KKI98050,s__hollandica
KJS07752,s__bacterium_BRH_c0
ETX00096,s__Entotheonella_factor
SDP05463,s__solie1
OCH15772,s__sp._1S128
ODO09283,s__amylolentus
KGT78203,s__japonicum
ASM00864,s__marcescens
ODM42611,s__johrii
KQS74826,s__sp._Leaf361
KOG51300,s__virginiae
KXS94540,s__eumusae
AIS97132,s__thailandensis
EEI16960,s__lipophiloflavum
EHM94494,s__sp._oral_taxon_849
EEI27377,s__glucuronolyticum
KQV48641,s__sp._Root1217
EWT94112,s__aureus
OMG42428,s__naeslundii
CDT38465,s__sp._J2-6
KRG33408,s__sp._P11G3
KMW58847,s__Rhodobacter_lobularis
KFB08070,s__basaltis
KZZ50940,s__sp._HI0120
AKP48958,s__smithii
AMD02728,s__chromatireducens
GAP56145,s__sp._Hiyo6
ENV94009,s__calcoaceticus
OKK21533,s__sp._CB02488
OBF35837,s__sp._ACS1612
ORA25892,s__angelicum
AUQ72153,s__inhibens
AQW54475,s__hygroscopicus
CRI32406,s__ailurogastricus
OMF16448,s__amylolyticus
AIU33566,s__ulcerans
KJK04026,s__sp._5
KLP02425,s__fujikuroi
SAC46317,s__aerogenes
KUH39526,s__kanasensis
EOQ75726,s__pittii
AQT38937,s__sp.
SEL25114,s__helgolandensis
AQT38931,s__sp.
CDT07085,s__crassostreae
BAB62910,s__benhamiae
APF38495,s__daeguensis
ABB49896,s__marinuse1
KJC54123,s__sp._LTSPM299
KUP35229,s__halotolerans
AKO95255,s__algicola
KGY89685,s__cloacae
EFU77356,s__saburreum
SAK33655,s__multivorans
CCW16023,s__japonicume1
EPA90147,s__pneumoniae
EFN00030,s__pleuropneumoniae
OII67894,s__sp._CC77
BAK76849,s__sp._NH8B
KLQ82275,s__hormaechei
AJF13049,s__bacterium
AJF13048,s__bacterium
AJF13047,s__bacterium
AJF13046,s__bacterium
AJF13045,s__bacterium
AJF13044,s__bacterium
AJF13042,s__bacterium
AJF13041,s__bacterium
SCE09575,s__sp._PalvLS-984
AJF12310,s__thaumarchaeote
AJF12311,s__thaumarchaeote
AJF12312,s__thaumarchaeote
AJF12313,s__thaumarchaeote
AJF12314,s__thaumarchaeote
AJF12315,s__thaumarchaeote
AJF12316,s__thaumarchaeote
